code_iso,code_key,population_est,income_per_capita_est,income_group
JPN,JPN-Yamanashi,16388623,18776,medio
JOR,JOR,100414647,21054,medio
KAZ,KAZ,589267201,44812,alto
KEN,KEN,2433043,29739,medio
KIR,KIR,30077102,31635,medio
PRK,PRK,544507968,29575,medio
KOR,KOR,678877817,6347,bajo
XKX,XKX,1136262940,21399,medio
KWT,KWT,1133219090,82731,alto
KGZ,KGZ,1110236967,58100,alto
LAO,LAO,631968934,20768,medio
LVA,LVA,225029045,1031,bajo
LBN,LBN,802657453,1731,bajo
LSO,LSO,1086840839,28081,medio
LBR,LBR,1212178003,87522,alto
LBY,LBY,940714573,27929,medio
LIE,LIE,1151453892,46357,alto
LTU,LTU,95209960,11437,medio
LUX,LUX,174985575,9062,bajo
MDG,MDG,668194401,5004,bajo
MWI,MWI,528899515,6002,bajo
MYS,MYS-Johor,18353988,17608,medio
MYS,MYS-Kedah,3011179,6497,bajo
MYS,MYS-Kelantan,16839282,15566,medio
MYS,MYS-Melaka,36035578,34170,medio
MYS,MYS-Negeri-Sembilan,38823450,18808,medio
MYS,MYS-Pahang,23197230,4666,bajo
MYS,MYS-Perak,25434304,4514,bajo
MYS,MYS-Perlis,23516415,28640,medio
MYS,MYS-Pulau-Pinang,39078646,30738,medio
MYS,MYS-Sabah,41783155,29694,medio
MYS,MYS-Sarawak,37747437,48613,alto
MYS,MYS-Selangor,13719910,17399,medio
MYS,MYS-Terengganu,24838306,10931,medio
MYS,MYS-W.P.-Kuala-Lumpur,45705371,28713,medio
MYS,MYS-W.P.-Labuan,42964254,84545,alto
MYS,MYS-W.P.-Putrajaya,14719150,12465,medio
MDV,MDV,547822679,29661,medio
MLI,MLI,1295882885,25623,medio
MLT,MLT,547244463,31814,medio
MHL,MHL,311733927,33386,medio
MRT,MRT,872653078,24008,medio
MUS,MUS,588217701,76585,alto
MEX,MEX-Aguascalientes,4207739,73756,alto
MEX,MEX-Baja-California,10335121,8009,bajo
MEX,MEX-Baja-California-Sur,48035683,6432,bajo
MEX,MEX-Campeche,36870174,9857,bajo
MEX,MEX-Chiapas,18258067,12781,medio
MEX,MEX-Chihuahua,48620097,20083,medio
MEX,MEX-Ciudad-de-Mexico,11334581,2139,bajo
MEX,MEX-Coahuila,24553290,9473,bajo
MEX,MEX-Colima,21273961,23982,medio
MEX,MEX-Durango,6869634,2774,bajo
MEX,MEX-Guanajuato,11055787,2980,bajo
MEX,MEX-Guerrero,9850119,16799,medio
MEX,MEX-Hidalgo,25793943,9047,bajo
MEX,MEX-Jalisco,4017324,5174,bajo
MEX,MEX-Mexico,37079962,67237,alto
MEX,MEX-Michoacan,8213492,81696,alto
MEX,MEX-Morelos,28095521,29906,medio
MEX,MEX-Nayarit,6447885,6604,bajo
MEX,MEX-Nuevo-Leon,12894085,32203,medio
MEX,MEX-Oaxaca,403186,26547,medio
MEX,MEX-Puebla,39537304,7422,bajo
MEX,MEX-Queretaro,37319922,3881,bajo
MEX,MEX-Quintana-Roo,12933274,2564,bajo
MEX,MEX-San-Luis-Potosi,7081422,16589,medio
MEX,MEX-Sinaloa,3314299,63841,alto
MEX,MEX-Sonora,38524123,17447,medio
MEX,MEX-Tabasco,6542930,30368,medio
MEX,MEX-Tamaulipas,14818756,30271,medio
MEX,MEX-Tlaxcala,25938614,10339,medio
MEX,MEX-Veracruz,1760093,31205,medio
MEX,MEX-Yucatan,23003847,4281,bajo
MEX,MEX-Zacatecas,34785114,29974,medio
FSM,FSM,656469599,61509,alto
MDA,MDA,193762516,15130,medio
MCO,MCO,264276297,61221,alto
MNG,MNG,110862576,33699,medio
MNE,MNE,125540086,17733,medio
MAR,MAR,620196048,5549,bajo
MOZ,MOZ,816275272,20318,medio
NAM,NAM,535059053,80401,alto
NRU,NRU,921290422,31088,medio
NPL,NPL,277985362,1138,bajo
NLD,NLD-Aruba,18480891,8209,bajo
NLD,NLD-Bonaire--Sint-Eustatius-and-Saba,984303,15143,medio
NLD,NLD-Curacao,47999910,11224,medio
NLD,NLD-Drenthe,20040723,24466,medio
NLD,NLD-Flevoland,19663453,83047,alto
NLD,NLD-Friesland,4983064,22102,medio
NLD,NLD-Gelderland,6858120,14245,medio
NLD,NLD-Groningen,9435266,5923,bajo
NLD,NLD-Limburg,17267890,7107,bajo
NLD,NLD-Noord-Brabant,38885236,17407,medio
NLD,NLD-Noord-Holland,38312356,61081,alto
NLD,NLD-Overijssel,6694601,34457,medio
NLD,NLD-Sint-Maarten,24698273,24790,medio
NLD,NLD-Utrecht,25568880,8652,bajo
NLD,NLD-Zeeland,29459159,50642,alto
NLD,NLD-Zuid-Holland,3622914,44567,alto
NZL,NZL-Cook-Islands,32798991,18859,medio
NZL,NZL-Niue,43029088,6268,bajo
NZL,NZL,930235454,28758,medio
NIC,NIC,576417676,88242,alto
NER,NER,964182411,27399,medio
NGA,NGA,737637614,10335,medio
MKD,MKD,423773873,580,bajo
NOR,NOR,19724228,2634,bajo
OMN,OMN,259436345,757,bajo
PAK,PAK-Azad-Jammu-and-Kashmir,43777020,64662,alto
PAK,PAK-Balochistan,15183441,10184,medio
PAK,PAK-Gilgit-Baltistan,27142673,33225,medio
PAK,PAK-Islamabad,18508958,622,bajo
PAK,PAK-Khyber-Pakhtunkhwa,33305260,75824,alto
PAK,PAK-Punjab,30043744,42263,alto
PAK,PAK-Sindh,29888918,5200,bajo
PLW,PLW,366594736,48191,alto
PAN,PAN,147783008,4014,bajo
PNG,PNG,1373895165,6133,bajo
PRY,PRY,200376718,6577,bajo
PER,PER-Amazonas,25017056,85546,alto
PER,PER-Ancash,314543,70120,alto
PER,PER-Apurimac,29151997,25716,medio
PER,PER-Arequipa,3122261,19500,medio
PER,PER-Ayacucho,1466498,24992,medio
PER,PER-Cajamarca,45650965,88096,alto
PER,PER-Callao,29344810,6905,bajo
PER,PER-Cusco,21500513,26874,medio
PER,PER-Huancavelica,42665972,27438,medio
PER,PER-Huanuco,30897799,1201,bajo
PER,PER-Ica,9379879,12934,medio
PER,PER-Junin,49450613,31771,medio
PER,PER-La-Libertad,6433841,6537,bajo
PER,PER-Lambayeque,9390814,49426,alto
PER,PER-Lima,19025370,5195,bajo
PER,PER-Loreto,2667303,83971,alto
PER,PER-Madre-de-Dios,38955088,9826,bajo
PER,PER-Moquegua,26557512,8771,bajo
PER,PER-Pasco,8334458,9527,bajo
PER,PER-Piura,43055531,18843,medio
PER,PER-Puno,6673143,26800,medio
PER,PER-San-Martin,675979,6066,bajo
PER,PER-Tacna,5456342,5673,bajo
PER,PER-Tumbes,14536420,15999,medio
PER,PER-Ucayali,26152602,13866,medio
PHL,PHL,1098094739,18937,medio
POL,POL,459357106,2502,bajo
PRT,PRT,136231023,26623,medio
QAT,QAT,545532346,28328,medio
ROU,ROU,593719389,76815,alto
RUS,RUS-Adygea-Republic,39040481,25925,medio
RUS,RUS-Altai-Krai,13124573,6367,bajo
RUS,RUS-Altai-Republic,49983713,3694,bajo
RUS,RUS-Amur-Oblast,33060331,22707,medio
RUS,RUS-Arkhangelsk-Oblast,18690087,34117,medio
RUS,RUS-Astrakhan-Oblast,42575255,57743,alto
RUS,RUS-Bashkortostan-Republic,21545028,33971,medio
RUS,RUS-Belgorod-Oblast,44442839,31188,medio
RUS,RUS-Bryansk-Oblast,39323283,20790,medio
RUS,RUS-Buryatia-Republic,29902058,25301,medio
RUS,RUS-Chechen-Republic,42033011,1853,bajo
RUS,RUS-Chelyabinsk-Oblast,30998548,3380,bajo
RUS,RUS-Chukotka-Autonomous-Okrug,47622896,25828,medio
RUS,RUS-Chuvashia-Republic,27049024,1179,bajo
RUS,RUS-Dagestan-Republic,9964657,9178,bajo
RUS,RUS-Ingushetia-Republic,19636311,4120,bajo
RUS,RUS-Irkutsk-Oblast,30831478,4814,bajo
RUS,RUS-Ivanovo-Oblast,13934414,7364,bajo
RUS,RUS-Jewish-Autonomous-Okrug,46333128,24716,medio
RUS,RUS-Kabardino-Balkarian-Republic,6789617,27868,medio
RUS,RUS-Kaliningrad-Oblast,9597718,25150,medio
RUS,RUS-Kalmykia-Republic,17633678,27074,medio
RUS,RUS-Kaluga-Oblast,733879,41125,alto
RUS,RUS-Kamchatka-Krai,12387179,9704,bajo
RUS,RUS-Karachay-Cherkess-Republic,31564749,33052,medio
RUS,RUS-Karelia-Republic,18407030,2847,bajo
RUS,RUS-Kemerovo-Oblast,1512718,24743,medio
RUS,RUS-Khabarovsk-Krai,13782237,71476,alto
RUS,RUS-Khakassia-Republic,19615556,32760,medio
RUS,RUS-Khanty-Mansi-Autonomous-Okrug,11942133,34314,medio
RUS,RUS-Kirov-Oblast,6706579,20114,medio
RUS,RUS-Komi-Republic,33963257,10637,medio
RUS,RUS-Kostroma-Oblast,48032891,6366,bajo
RUS,RUS-Krasnodar-Krai,13664424,33177,medio
RUS,RUS-Krasnoyarsk-Krai,1895190,13008,medio
RUS,RUS-Kurgan-Oblast,38260213,33600,medio
RUS,RUS-Kursk-Oblast,21879211,7872,bajo
RUS,RUS-Leningrad-Oblast,17017812,73368,alto
RUS,RUS-Lipetsk-Oblast,31038034,1899,bajo
RUS,RUS-Magadan-Oblast,5003899,8503,bajo
RUS,RUS-Mari-El-Republic,11277806,27889,medio
RUS,RUS-Mordovia-Republic,37687422,6342,bajo
RUS,RUS-Moscow,15915769,18441,medio
RUS,RUS-Moscow-Oblast,14309385,15320,medio
RUS,RUS-Murmansk-Oblast,12504418,18727,medio
RUS,RUS-Nenets-Autonomous-Okrug,15420415,21724,medio
RUS,RUS-Nizhny-Novgorod-Oblast,44695691,16443,medio
RUS,RUS-North-Ossetia---Alania-Republic,43386522,54933,alto
RUS,RUS-Novgorod-Oblast,31992402,23394,medio
RUS,RUS-Novosibirsk-Oblast,304358,16952,medio
RUS,RUS-Omsk-Oblast,14389782,76417,alto
RUS,RUS-Orel-Oblast,41159334,3238,bajo
RUS,RUS-Orenburg-Oblast,4731005,13369,medio
RUS,RUS-Penza-Oblast,9980977,4635,bajo
RUS,RUS-Perm-Krai,44939426,8483,bajo
RUS,RUS-Primorsky-Krai,26357577,3911,bajo
RUS,RUS-Pskov-Oblast,1257752,15635,medio
RUS,RUS-Rostov-Oblast,29760575,14069,medio
RUS,RUS-Ryazan-Oblast,38259586,6751,bajo
RUS,RUS-Saint-Petersburg,45267519,79347,alto
RUS,RUS-Sakha-(Yakutiya)-Republic,126908,29569,medio
RUS,RUS-Sakhalin-Oblast,2353145,54622,alto
RUS,RUS-Samara-Oblast,45328936,73505,alto
RUS,RUS-Saratov-Oblast,5856899,19439,medio
RUS,RUS-Smolensk-Oblast,34415995,62909,alto
RUS,RUS-Stavropol-Krai,42803752,12573,medio
RUS,RUS-Sverdlovsk-Oblast,45900962,67893,alto
RUS,RUS-Tambov-Oblast,5370678,9921,bajo
RUS,RUS-Tatarstan-Republic,9039750,21403,medio
RUS,RUS-Tomsk-Oblast,25413726,11306,medio
RUS,RUS-Tula-Oblast,40176735,12101,medio
RUS,RUS-Tver-Oblast,10558839,82449,alto
RUS,RUS-Tyumen-Oblast,26770265,67903,alto
RUS,RUS-Tyva-Republic,41692110,7811,bajo
RUS,RUS-Udmurt-Republic,12903170,85611,alto
RUS,RUS-Ulyanovsk-Oblast,25658274,4731,bajo
RUS,RUS-Vladimir-Oblast,43851278,34040,medio
RUS,RUS-Volgograd-Oblast,48760875,10812,medio
RUS,RUS-Vologda-Oblast,31107044,8400,bajo
RUS,RUS-Voronezh-Oblast,5320074,20130,medio
RUS,RUS-Yamalo-Nenets-Autonomous-Okrug,35084030,33952,medio
