FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,code_iso_x,code_key,code_iso_y,population_est,income_per_capita_est,income_group
,,Tasmania,Australia,2023-03-10 04:21:03,-42.8821,147.3272,287507,256,,,"Tasmania, Australia",53689.44911297853,0.0890413102985318,AUS,AUS-Tasmania,AUS,7752237,34497,medio
,,Victoria,Australia,2023-03-10 04:21:03,-37.8136,144.9631,2880559,7370,,,"Victoria, Australia",43448.00072399282,0.2558531173983938,AUS,AUS-Victoria,AUS,23537193,7916,bajo
,,Western-Australia,Australia,2023-03-10 04:21:03,-31.9505,115.8605,1293461,952,,,"Western Australia, Australia",49169.80916901087,0.0736009821710898,AUS,AUS-Western-Australia,AUS,48415030,5164,bajo
,,,Austria,2023-03-10 04:21:03,47.5162,14.5501,5961143,21970,,,Austria,66187.85530289572,0.3685534804315212,AUT,AUT,AUT,1235153896,1705,bajo
,,,Azerbaijan,2023-03-10 04:21:03,40.1431,47.5769,828825,10138,,,Azerbaijan,8174.481651613667,1.2231773896781588,AZE,AZE,AZE,331572068,2738,bajo
,,,Bahamas,2023-03-10 04:21:03,25.025885,-78.035889,37491,833,,,Bahamas,9533.678492961184,2.2218665813128484,BHS,BHS,BHS,178534136,27544,medio
,,,Bahrain,2023-03-10 04:21:03,26.0275,50.55,710693,1553,,,Bahrain,41766.57853304834,0.2185191074064328,BHR,BHR,BHR,654584937,22987,medio
,,,Bangladesh,2023-03-10 04:21:03,23.685,90.3563,2037871,29445,,,Bangladesh,1237.402777809909,1.4448902801011447,BGD,BGD,BGD,1392120814,5739,bajo
,,,Barbados,2023-03-10 04:21:03,13.1939,-59.5432,106798,579,,,Barbados,37163.80567280624,0.5421449839884642,BRB,BRB,BRB,759676059,79785,alto
,,,Belarus,2023-03-10 04:21:03,53.7098,27.9534,994037,7118,,,Belarus,10519.665910386577,0.7160699249625517,BLR,BLR,BLR,586191740,58358,alto
,,Antwerp,Belgium,2023-03-10 04:21:03,51.2195,4.4024,766206,0,,,"Antwerp, Belgium",41238.52386401189,0.0,BEL,BEL-Antwerp,BEL,45132928,26455,medio
,,Brussels,Belgium,2023-03-10 04:21:03,50.8503,4.3517,505467,0,,,"Brussels, Belgium",41824.5290606367,0.0,BEL,BEL-Brussels,BEL,41173397,27138,medio
,,East-Flanders,Belgium,2023-03-10 04:21:03,51.0362,3.7373,645338,0,,,"East Flanders, Belgium",42594.7682738155,0.0,BEL,BEL-East-Flanders,BEL,16945469,33682,medio
,,Flemish-Brabant,Belgium,2023-03-10 04:21:03,50.9167,4.5833,464722,0,,,"Flemish Brabant, Belgium",40545.46644273344,0.0,BEL,BEL-Flemish-Brabant,BEL,3221369,7100,bajo
,,Hainaut,Belgium,2023-03-10 04:21:03,50.5257,4.0621,519111,0,,,"Hainaut, Belgium",38617.40565865793,0.0,BEL,BEL-Hainaut,BEL,1669537,63428,alto
,,Liege,Belgium,2023-03-10 04:21:03,50.4496,5.8492,419029,0,,,"Liege, Belgium",37852.93841328573,0.0,BEL,BEL-Liege,BEL,34844330,9596,bajo
,,Limburg,Belgium,2023-03-10 04:21:03,50.9739,5.342,351474,0,,,"Limburg, Belgium",40212.20802518855,0.0,BEL,BEL-Limburg,BEL,2374840,82582,alto
,,Luxembourg,Belgium,2023-03-10 04:21:03,50.0547,5.4677,122942,0,,,"Luxembourg, Belgium",43192.4057926208,0.0,BEL,BEL-Luxembourg,BEL,34335575,34536,medio
,,Namur,Belgium,2023-03-10 04:21:03,50.331,4.8221,202905,0,,,"Namur, Belgium",41046.88211197087,0.0,BEL,BEL-Namur,BEL,40262379,34627,medio
,,Walloon-Brabant,Belgium,2023-03-10 04:21:03,50.4,4.35,173827,0,,,"Walloon Brabant, Belgium",43069.23456202815,0.0,BEL,BEL-Walloon-Brabant,BEL,20693593,23291,medio
,,West-Flanders,Belgium,2023-03-10 04:21:03,51.0536,3.1458,504980,0,,,"West Flanders, Belgium",42229.611070784646,0.0,BEL,BEL-West-Flanders,BEL,15277600,12621,medio
,,,Belize,2023-03-10 04:21:03,17.1899,-88.4976,70757,688,,,Belize,17795.086275624275,0.9723419590994532,BLZ,BLZ,BLZ,1357587983,3690,bajo
,,,Benin,2023-03-10 04:21:03,9.3077,2.3158,27999,163,,,Benin,230.95391166588223,0.5821636487017393,BEN,BEN,BEN,1302570611,13948,medio
,,,Bhutan,2023-03-10 04:21:03,27.5142,90.4336,62627,21,,,Bhutan,8116.384918845223,0.0335318632538681,BTN,BTN,BTN,1300504782,11287,medio
,,,Bolivia,2023-03-10 04:21:03,-16.2902,-63.5887,1194277,22365,,,Bolivia,10231.080553299404,1.8726811284149325,BOL,BOL,BOL,497145628,31742,medio
,,,Bosnia-and-Herzegovina,2023-03-10 04:21:03,43.9159,17.6791,401729,16280,,,Bosnia and Herzegovina,12244.79283348802,4.052483141620346,BIH,BIH,BIH,411985899,8018,bajo
,,,Botswana,2023-03-10 04:21:03,-22.3285,24.6849,329758,2801,,,Botswana,14022.558868867272,0.8494107800265649,BWA,BWA,BWA,391997996,33420,medio
,,Acre,Brazil,2023-03-10 04:21:03,-9.0238,-70.812,160433,2043,,,"Acre, Brazil",18191.02314796442,1.2734287833550455,BRA,BRA-Acre,BRA,43279365,82358,alto
,,Alagoas,Brazil,2023-03-10 04:21:03,-9.5713,-36.782,337535,7242,,,"Alagoas, Brazil",10113.841581826577,2.1455552757491816,BRA,BRA-Alagoas,BRA,10546473,31164,medio
,,Amapa,Brazil,2023-03-10 04:21:03,0.902,-52.003,185668,2167,,,"Amapa, Brazil",21953.552607152866,1.1671370403085075,BRA,BRA-Amapa,BRA,7763638,25668,medio
,,Amazonas,Brazil,2023-03-10 04:21:03,-3.4168,-65.8561,631976,14443,,,"Amazonas, Brazil",15248.189389704234,2.2853715963897363,BRA,BRA-Amazonas,BRA,28117874,36772,alto
,,Bahia,Brazil,2023-03-10 04:21:03,-12.5797,-41.7007,1792572,31459,,,"Bahia, Brazil",12052.4728462138,1.7549643752105912,BRA,BRA-Bahia,BRA,34553154,30286,medio
,,Ceara,Brazil,2023-03-10 04:21:03,-5.4984,-39.3206,1453572,28157,,,"Ceara, Brazil",15917.209642756008,1.9370901475812687,BRA,BRA-Ceara,BRA,18824614,32110,medio
,,Distrito-Federal,Brazil,2023-03-10 04:21:03,-15.7998,-47.8645,897897,11844,,,"Distrito Federal, Brazil",29778.34806060357,1.3190822555371051,BRA,BRA-Distrito-Federal,BRA,14543551,67238,alto
,,Espirito-Santo,Brazil,2023-03-10 04:21:03,-19.1834,-40.3089,1323318,15041,,,"Espirito Santo, Brazil",32929.41659512523,1.1366126660409668,BRA,BRA-Espirito-Santo,BRA,3537110,16200,medio
,,Goias,Brazil,2023-03-10 04:21:03,-15.827,-49.8362,1898605,28036,,,"Goias, Brazil",27051.9982320641,1.4766631289815415,BRA,BRA-Goias,BRA,37854071,9641,bajo
,,Maranhao,Brazil,2023-03-10 04:21:03,-4.9609,-45.2744,493391,11053,,,"Maranhao, Brazil",6973.545977127652,2.2402111104580342,BRA,BRA-Maranhao,BRA,23186113,3638,bajo
,,Mato-Grosso,Brazil,2023-03-10 04:21:03,-12.6819,-56.9211,878360,15087,,,"Mato Grosso, Brazil",25207.87977268253,1.7176328612414045,BRA,BRA-Mato-Grosso,BRA,34629992,17213,medio
,,Mato-Grosso-do-Sul,Brazil,2023-03-10 04:21:03,-20.7722,-54.7852,607356,11010,,,"Mato Grosso do Sul, Brazil",21855.30981444311,1.8127753739157924,BRA,BRA-Mato-Grosso-do-Sul,BRA,23976420,2916,bajo
,,Minas-Gerais,Brazil,2023-03-10 04:21:03,-18.5122,-44.555,4189760,65507,,,"Minas Gerais, Brazil",19792.1553479365,1.5635024440540748,BRA,BRA-Minas-Gerais,BRA,40271864,50964,alto
,,Para,Brazil,2023-03-10 04:21:03,-1.9981,-54.9306,871612,19021,,,"Para, Brazil",10131.648003310524,2.182278353212209,BRA,BRA-Para,BRA,41913497,7551,bajo
,,Paraiba,Brazil,2023-03-10 04:21:03,-7.24,-36.782,707743,10542,,,"Paraiba, Brazil",17613.75387089557,1.4895237395495258,BRA,BRA-Paraiba,BRA,23721414,27968,medio
,,Parana,Brazil,2023-03-10 04:21:03,-25.2521,-52.0215,2918459,46018,,,"Parana, Brazil",25524.488154013525,1.5767910393807143,BRA,BRA-Parana,BRA,7399434,1546,bajo
,,Pernambuco,Brazil,2023-03-10 04:21:03,-8.8137,-36.9541,1156640,22686,,,"Pernambuco, Brazil",12102.45272845624,1.961370867339881,BRA,BRA-Pernambuco,BRA,16878872,24909,medio
,,Piaui,Brazil,2023-03-10 04:21:03,-7.7183,-42.7289,424866,8354,,,"Piaui, Brazil",12980.034687481191,1.9662670112458984,BRA,BRA-Piaui,BRA,35727198,48578,alto
,,Rio-Grande-do-Norte,Brazil,2023-03-10 04:21:03,-5.4026,-36.9541,585935,8715,,,"Rio Grande do Norte, Brazil",16708.285177622216,1.48736634609641,BRA,BRA-Rio-Grande-do-Norte,BRA,363153,33368,medio
,,Rio-Grande-do-Sul,Brazil,2023-03-10 04:21:03,-30.0346,-51.2177,2961756,41919,,,"Rio Grande do Sul, Brazil",26032.291314263504,1.4153427898854598,BRA,BRA-Rio-Grande-do-Sul,BRA,40288936,86317,alto
,,Rio-de-Janeiro,Brazil,2023-03-10 04:21:03,-22.9068,-43.1729,2752662,76844,,,"Rio de Janeiro, Brazil",15943.649509876748,2.791624979746878,BRA,BRA-Rio-de-Janeiro,BRA,20240924,6219,bajo
,,Rondonia,Brazil,2023-03-10 04:21:03,-11.5057,-63.5806,482910,7432,,,"Rondonia, Brazil",27172.13633614202,1.5390031268766438,BRA,BRA-Rondonia,BRA,31349570,7722,bajo
,,Roraima,Brazil,2023-03-10 04:21:03,-2.7376,-62.0751,182485,2180,,,"Roraima, Brazil",30124.917252843945,1.194618735786503,BRA,BRA-Roraima,BRA,46083017,85328,alto
,,Santa-Catarina,Brazil,2023-03-10 04:21:03,-27.2423,-50.2189,1985888,22703,,,"Santa Catarina, Brazil",27717.33092451584,1.143216535877149,BRA,BRA-Santa-Catarina,BRA,997938,83366,alto
,,Sao-Paulo,Brazil,2023-03-10 04:21:03,-23.5505,-46.6333,6469442,179039,,,"Sao Paulo, Brazil",14088.79787558318,2.7674566059947674,BRA,BRA-Sao-Paulo,BRA,7084533,50624,alto
,,Sergipe,Brazil,2023-03-10 04:21:03,-10.5741,-37.3857,359674,6502,,,"Sergipe, Brazil",15646.871095612469,1.807748127470988,BRA,BRA-Sergipe,BRA,30306194,16411,medio
,,Tocantins,Brazil,2023-03-10 04:21:03,-10.1753,-48.2982,365538,4232,,,"Tocantins, Brazil",23240.25059986038,1.1577455695440693,BRA,BRA-Tocantins,BRA,26157838,18074,medio
,,,Brunei,2023-03-10 04:21:03,4.5353,114.7277,279661,225,,,Brunei,63924.99822850259,0.0804545503305788,BRN,BRN,BRN,1152100613,9723,bajo
,,,Bulgaria,2023-03-10 04:21:03,42.7339,25.4858,1297523,38228,,,Bulgaria,18673.573727646977,2.946229084185791,BGR,BGR,BGR,763834218,66433,alto
,,,Burkina-Faso,2023-03-10 04:21:03,12.2383,-1.5616,22056,396,,,Burkina Faso,105.51455135409864,1.7954298150163222,BFA,BFA,BFA,743256465,29672,medio
,,,Burma,2023-03-10 04:21:03,21.9162,95.956,633950,19490,,,Burma,1165.1394967604544,3.0743749507058915,MMR,MMR,MMR,685309099,22718,medio
,,,Burundi,2023-03-10 04:21:03,-3.3731,29.9189,53631,38,,,Burundi,451.030087931146,0.0708545430814267,BDI,BDI,BDI,1263554504,11315,medio
,,,Cabo-Verde,2023-03-10 04:21:03,16.5388,-23.0418,63244,413,,,Cabo Verde,11375.065648898895,0.6530263740433875,CPV,CPV,CPV,265325331,1392,bajo
,,,Cambodia,2023-03-10 04:21:03,11.55,104.9167,138719,3056,,,Cambodia,829.7101538126958,2.203014727614818,KHM,KHM,KHM,927872219,56553,alto
,,,Cameroon,2023-03-10 04:21:03,3.848,11.5021,124392,1965,,,Cameroon,468.5927721169671,1.5796835809376808,CMR,CMR,CMR,1160527961,8798,bajo
,,Alberta,Canada,2023-03-10 04:21:03,53.9333,-116.5765,629269,5622,,,"Alberta, Canada",14258.966279384367,0.8934176004220771,CAN,CAN-Alberta,CAN,41101400,29464,medio
,,British-Columbia,Canada,2023-03-10 04:21:03,53.7267,-127.6476,396817,5249,,,"British Columbia, Canada",7764.105736798308,1.3227759899399472,CAN,CAN-British-Columbia,CAN,12508291,18936,medio
,,Manitoba,Canada,2023-03-10 04:21:03,53.7609,-98.8139,154712,2464,,,"Manitoba, Canada",11231.222554785169,1.592636640984539,CAN,CAN-Manitoba,CAN,39042267,23767,medio
,,New-Brunswick,Canada,2023-03-10 04:21:03,46.5653,-66.4619,88866,834,,,"New Brunswick, Canada",11393.17916955665,0.9384916616028628,CAN,CAN-New-Brunswick,CAN,31815572,16466,medio
,,Newfoundland-and-Labrador,Canada,2023-03-10 04:21:03,53.1355,-57.6604,54757,318,,,"Newfoundland and Labrador, Canada",10502.622922520692,0.5807476669649543,CAN,CAN-Newfoundland-and-Labrador,CAN,48814674,9313,bajo
,,Northwest-Territories,Canada,2023-03-10 04:21:03,64.8255,-124.8457,11511,22,,,"Northwest Territories,Canada",25634.687332977017,0.1911215359221614,CAN,CAN-Northwest-Territories,CAN,47595930,15090,medio
,,Nova-Scotia,Canada,2023-03-10 04:21:03,44.682,-63.7443,140793,794,,,"Nova Scotia, Canada",14404.009588145564,0.5639484917574027,CAN,CAN-Nova-Scotia,CAN,35170184,14240,medio
,,Nunavut,Canada,2023-03-10 04:21:03,70.2998,-83.1076,3531,7,,,"Nunavut, Canada",9105.20887055183,0.1982441234777683,CAN,CAN-Nunavut,CAN,46718163,26795,medio
,,Ontario,Canada,2023-03-10 04:21:03,51.2538,-85.3232,1601325,16234,,,"Ontario, Canada",10884.610048772323,1.0137854589168345,CAN,CAN-Ontario,CAN,48098004,8805,bajo
,,Prince-Edward-Island,Canada,2023-03-10 04:21:03,46.5107,-63.4168,56523,93,,,"Prince Edward Island, Canada",35738.312320590805,0.1645347911469667,CAN,CAN-Prince-Edward-Island,CAN,17594256,2946,bajo
,,Quebec,Canada,2023-03-10 04:21:03,52.9399,-73.5491,1320325,18160,,,"Quebec, Canada",15464.692139802948,1.3754189309450324,CAN,CAN-Quebec,CAN,6644586,3846,bajo
,,Saskatchewan,Canada,2023-03-10 04:21:03,52.9399,-106.4509,153651,1890,,,"Saskatchewan, Canada",13002.912836622192,1.2300603315305465,CAN,CAN-Saskatchewan,CAN,20919659,22411,medio
,,Yukon,Canada,2023-03-10 04:21:03,64.2823,-135.0,4989,32,,,"Yukon, Canada",12145.187204829836,0.6414111044297455,CAN,CAN-Yukon,CAN,22019406,585,bajo
,,,Central-African-Republic,2023-03-10 04:21:03,6.6111,20.9394,15368,113,,,Central African Republic,318.1936011780286,0.7352941176470589,CAF,CAF,CAF,734353646,75517,alto
,,,Chad,2023-03-10 04:21:03,15.4542,18.7322,7679,194,,,Chad,46.74945766915448,2.526370621174632,TCD,TCD,TCD,1331073858,14142,medio
,,Antofagasta,Chile,2023-03-10 04:21:03,-23.6509,-70.3975,183811,1961,,,"Antofagasta, Chile",30255.26143392798,1.0668567169538277,CHL,CHL-Antofagasta,CHL,28818715,26070,medio
,,Araucania,Chile,2023-03-10 04:21:03,-38.9489,-72.3311,293632,2922,,,"Araucania, Chile",30675.369610456903,0.9951231473408892,CHL,CHL-Araucania,CHL,2164828,81955,alto
,,Arica-y-Parinacota,Chile,2023-03-10 04:21:03,-18.594,-69.4785,79718,900,,,"Arica y Parinacota, Chile",35262.84126899871,1.1289796532778045,CHL,CHL-Arica-y-Parinacota,CHL,39343160,7587,bajo
,,Atacama,Chile,2023-03-10 04:21:03,-27.5661,-70.0503,116955,718,,,"Atacama, Chile",40476.70136773908,0.6139113334188363,CHL,CHL-Atacama,CHL,11991953,58752,alto
,,Aysen,Chile,2023-03-10 04:21:03,-45.9864,-73.7669,36352,222,,,"Aysen, Chile",35239.14771515539,0.6106954225352113,CHL,CHL-Aysen,CHL,38857780,25635,medio
,,Biobio,Chile,2023-03-10 04:21:03,-37.4464,-72.1416,510730,4824,,,"Biobio, Chile",32806.292374446384,0.9445303780862688,CHL,CHL-Biobio,CHL,2794975,57218,alto
,,Coquimbo,Chile,2023-03-10 04:21:03,-29.959,-71.3389,211158,1951,,,"Coquimbo, Chile",27872.479164081706,0.9239526799837088,CHL,CHL-Coquimbo,CHL,15639231,66873,alto
,,Los-Lagos,Chile,2023-03-10 04:21:03,-41.9198,-72.1416,243060,2577,,,"Los Lagos, Chile",29329.993194225222,1.0602320414712416,CHL,CHL-Los-Lagos,CHL,8381223,1303,bajo
,,Los-Rios,Chile,2023-03-10 04:21:03,-40.231,-72.3311,148252,1411,,,"Los Rios, Chile",38523.32286136728,0.9517578177697434,CHL,CHL-Los-Rios,CHL,8850597,24724,medio
,,Magallanes,Chile,2023-03-10 04:21:03,-52.368,-70.9863,67653,774,,,"Magallanes, Chile",40624.3807533642,1.1440734335506186,CHL,CHL-Magallanes,CHL,49911706,33103,medio
,,Maule,Chile,2023-03-10 04:21:03,-35.5183,-71.6885,346804,3354,,,"Maule, Chile",33188.57361596249,0.967116872931108,CHL,CHL-Maule,CHL,15734345,32469,medio
,,Metropolitana,Chile,2023-03-10 04:21:03,-33.4376,-70.6505,1967389,30869,,,"Metropolitana, Chile",27659.80749093748,1.5690338819623368,CHL,CHL-Metropolitana,CHL,38476733,9761,bajo
,,Nuble,Chile,2023-03-10 04:21:03,-36.7226,-71.7622,158355,1333,,,"Nuble, Chile",32948.82118312391,0.8417795459568691,CHL,CHL-Nuble,CHL,8136492,4682,bajo
,,OHiggins,Chile,2023-03-10 04:21:03,-34.5755,-71.0022,221916,2821,,,"OHiggins, Chile",24264.915724040653,1.2712017159645992,CHL,CHL-OHiggins,CHL,19864242,19600,medio
,,Tarapaca,Chile,2023-03-10 04:21:03,-19.9232,-69.5132,113542,1173,,,"Tarapaca, Chile",34348.58632978176,1.033097884483275,CHL,CHL-Tarapaca,CHL,44097791,21932,medio
,,Valparaiso,Chile,2023-03-10 04:21:03,-33.0472,-71.6127,492917,6461,,,"Valparaiso, Chile",27144.47145275461,1.310768344366293,CHL,CHL-Valparaiso,CHL,158469,84416,alto
,,Anhui,China,2023-03-10 04:21:03,31.8257,117.2264,2275,7,,,"Anhui, China",3.5974067046173306,0.3076923076923077,CHN,CHN-Anhui,CHN,44290462,22040,medio
,,Beijing,China,2023-03-10 04:21:03,40.1824,116.4142,40774,20,,,"Beijing, China",189.29433611884863,0.0490508657477804,CHN,CHN-Beijing,CHN,20957771,29477,medio
,,Chongqing,China,2023-03-10 04:21:03,30.0572,107.874,14715,11,,,"Chongqing, China",47.437137330754354,0.0747536527353041,CHN,CHN-Chongqing,CHN,15784046,5298,bajo
,,Fujian,China,2023-03-10 04:21:03,26.0789,117.9874,17122,2,,,"Fujian, China",43.44582593250444,0.0116808784020558,CHN,CHN-Fujian,CHN,13709048,8643,bajo
,,Gansu,China,2023-03-10 04:21:03,35.7518,104.2861,1742,2,,,"Gansu, China",6.6059916571861965,0.1148105625717566,CHN,CHN-Gansu,CHN,17303610,22473,medio
,,Guangdong,China,2023-03-10 04:21:03,23.3417,113.4244,103248,10,,,"Guangdong, China",90.99947117927024,0.0096854176352084,CHN,CHN-Guangdong,CHN,28949983,51709,alto
,,Guangxi,China,2023-03-10 04:21:03,23.8298,108.7881,13371,2,,,"Guangxi, China",27.143727161997564,0.0149577443721486,CHN,CHN-Guangxi,CHN,18878041,11206,medio
,,Guizhou,China,2023-03-10 04:21:03,26.8154,106.8748,2534,2,,,"Guizhou, China",7.038888888888889,0.0789265982636148,CHN,CHN-Guizhou,CHN,42473152,19696,medio
,,Hainan,China,2023-03-10 04:21:03,19.1959,109.7453,10483,6,,,"Hainan, China",112.23768736616702,0.0572355241820089,CHN,CHN-Hainan,CHN,11102722,48714,alto
,,Hebei,China,2023-03-10 04:21:03,37.8957,114.9042,3292,7,,,"Hebei, China",4.356802541026998,0.212636695018226,CHN,CHN-Hebei,CHN,44599825,69208,alto
,,Heilongjiang,China,2023-03-10 04:21:03,47.862,127.7615,6603,18,,,"Heilongjiang, China",17.500662602703418,0.2726033621081327,CHN,CHN-Heilongjiang,CHN,13890983,5684,bajo
,,Henan,China,2023-03-10 04:21:03,33.882,113.614,9948,23,,,"Henan, China",10.35710567412806,0.2312022517088862,CHN,CHN-Henan,CHN,30469094,9647,bajo
,,Hong-Kong,China,2023-03-10 04:21:03,22.3,114.2,2876106,13467,,,"Hong Kong, China",38363.48677628936,0.4682372624652916,CHN,CHN-Hong-Kong,CHN,35983285,26267,medio
,,Hubei,China,2023-03-10 04:21:03,30.9756,112.2707,72131,4515,,,"Hubei, China",121.90468142639853,6.259444621591271,CHN,CHN-Hubei,CHN,7259127,18746,medio
,,Hunan,China,2023-03-10 04:21:03,27.6104,111.7088,7437,4,,,"Hunan, China",10.779823162777214,0.053785128411994,CHN,CHN-Hunan,CHN,25708073,66452,alto
,,Inner-Mongolia,China,2023-03-10 04:21:03,44.0935,113.9448,8847,1,,,"Inner Mongolia, China",34.913180741910026,0.0113032666440601,CHN,CHN-Inner-Mongolia,CHN,49450284,5636,bajo
,,Jiangsu,China,2023-03-10 04:21:03,32.9711,119.455,5075,0,,,"Jiangsu, China",6.303564774562166,0.0,CHN,CHN-Jiangsu,CHN,14683090,8640,bajo
,,Jiangxi,China,2023-03-10 04:21:03,27.614,115.7221,3423,2,,,"Jiangxi, China",7.364457831325301,0.0584282792871749,CHN,CHN-Jiangxi,CHN,40761609,48188,alto
,,Jilin,China,2023-03-10 04:21:03,43.6661,126.1923,40764,5,,,"Jilin, China",150.75443786982248,0.0122657246590128,CHN,CHN-Jilin,CHN,37948509,15819,medio
,,Liaoning,China,2023-03-10 04:21:03,41.2956,122.6085,3547,2,,,"Liaoning, China",8.137187428309245,0.0563856780377784,CHN,CHN-Liaoning,CHN,32855567,75837,alto
,,Macau,China,2023-03-10 04:21:03,22.1667,113.55,3514,121,,,"Macau, China",541.1632082939345,3.44336937962436,CHN,CHN-Macau,CHN,29712936,22769,medio
,,Ningxia,China,2023-03-10 04:21:03,37.2692,106.1655,1276,0,,,"Ningxia, China",18.546511627906977,0.0,CHN,CHN-Ningxia,CHN,1139775,28420,medio
,,Qinghai,China,2023-03-10 04:21:03,35.7452,95.9956,782,0,,,"Qinghai, China",12.96849087893864,0.0,CHN,CHN-Qinghai,CHN,34735365,9978,bajo
,,Shaanxi,China,2023-03-10 04:21:03,35.1917,108.8701,7326,5,,,"Shaanxi, China",18.959627329192543,0.0682500682500682,CHN,CHN-Shaanxi,CHN,36083361,9889,bajo
,,Shandong,China,2023-03-10 04:21:03,36.3427,118.1498,5880,10,,,"Shandong, China",5.85249328157659,0.1700680272108843,CHN,CHN-Shandong,CHN,40168600,15560,medio
,,Shanghai,China,2023-03-10 04:21:03,31.202,121.4491,67040,595,,,"Shanghai, China",276.5676567656766,0.8875298329355609,CHN,CHN-Shanghai,CHN,17646950,22853,medio
,,Shanxi,China,2023-03-10 04:21:03,37.5777,112.2922,7167,1,,,"Shanxi, China",19.2764927380312,0.0139528394028184,CHN,CHN-Shanxi,CHN,38771620,4129,bajo
,,Sichuan,China,2023-03-10 04:21:03,30.6171,102.7103,14567,12,,,"Sichuan, China",17.464332813811293,0.0823779776206494,CHN,CHN-Sichuan,CHN,27433552,46657,alto
,,Tianjin,China,2023-03-10 04:21:03,39.3054,117.323,4392,3,,,"Tianjin, China",28.15384615384616,0.0683060109289617,CHN,CHN-Tianjin,CHN,41807012,9463,bajo
,,Tibet,China,2023-03-10 04:21:03,31.6927,88.0924,1647,0,,,"Tibet, China",47.877906976744185,0.0,CHN,CHN-Tibet,CHN,1882154,15314,medio
,,Xinjiang,China,2023-03-10 04:21:03,41.1129,85.2401,3089,3,,,"Xinjiang, China",12.420587052673904,0.0971188086759469,CHN,CHN-Xinjiang,CHN,41469049,2956,bajo
,,Yunnan,China,2023-03-10 04:21:03,24.974,101.487,9743,4,,,"Yunnan, China",20.17184265010352,0.041055116493893,CHN,CHN-Yunnan,CHN,923605,76430,alto
,,Zhejiang,China,2023-03-10 04:21:03,29.1832,120.0934,11848,1,,,"Zhejiang, China",20.65190866306432,0.0084402430790006,CHN,CHN-Zhejiang,CHN,19796742,1870,bajo
,,Amazonas,Colombia,2023-03-10 04:21:03,-1.4429,-71.5724,7851,265,,,"Amazonas, Colombia",10250.819308255755,3.3753661953891223,COL,COL-Amazonas,COL,26686223,17629,medio
,,Antioquia,Colombia,2023-03-10 04:21:03,7.1986,-75.3412,950809,18617,,,"Antioquia, Colombia",14839.922948003636,1.958016804636893,COL,COL-Antioquia,COL,25192763,9363,bajo
